"x","y","dtime","lc","delta.t"
65616.9272762757,806510.215199696,1995-11-24 14:35:00,"A",12.7666666666667
62650.1606531161,830470.198469805,1995-11-24 17:13:00,"0",2.63333333333333
461869.079435972,926299.336500376,1995-11-24 18:59:00,"B",1.76666666666667
74846.1082326526,834366.731255286,1995-11-24 20:33:00,"A",1.56666666666667
44217.369270246,841277.958432331,1995-11-24 21:08:00,"B",0.583333333333333
67385.5799203047,833562.998838502,1995-11-24 22:50:00,"0",1.7
60527.0778740622,832335.762054155,1995-11-25 00:29:00,"0",1.65
67351.7308753136,824963.396499981,1995-11-25 03:05:00,"B",2.6
67390.8416592156,826192.452779822,1995-11-25 06:25:00,"B",3.33333333333333
61585.9244398028,825763.335144217,1995-11-25 11:01:00,"A",4.6
-105258.831972346,700204.142484499,1995-11-25 12:37:00,"B",1.6
72965.5721173611,809652.354865524,1995-11-25 14:22:00,"B",1.75
89519.9726049669,820039.703862849,1995-11-25 18:34:00,"B",4.2
52133.9373558835,865387.914319555,1995-11-25 20:56:00,"B",2.36666666666667
85177.9682934983,884510.590945876,1995-11-25 22:36:00,"B",1.66666666666667
66798.984788768,832883.0115203,1995-11-26 00:20:00,"B",1.73333333333333
68446.3045002914,841399.020229597,1995-11-26 02:42:00,"B",2.36666666666667
75672.3697861011,844322.741425691,1995-11-26 04:23:00,"B",1.68333333333333
39954.6518441902,831963.866749086,1995-11-26 12:31:00,"B",8.13333333333333
-50344.1629103622,691802.652341834,1995-11-27 03:59:00,"B",15.4666666666667
70321.8403387132,826466.537273644,1995-11-27 05:41:00,"0",1.7
31869.2918625716,862826.219403815,1995-11-27 16:07:00,"B",10.4333333333333
59896.187375395,818590.934372327,1995-11-27 22:15:00,"A",6.13333333333333
46168.8741599276,785697.516622193,1995-11-27 23:56:00,"B",1.68333333333333
84051.3897982016,820367.282247192,1995-11-28 12:07:00,"B",12.1833333333333
63538.7237935278,831042.684681636,1995-11-28 17:26:00,"0",5.31666666666667
58657.8066819845,829292.532966923,1995-11-28 19:08:00,"A",1.7
59031.829437335,828293.025323822,1995-11-28 20:23:00,"0",1.25
